0,1,2,3,4,5,6,7,8,9,10
Volleyball,30.56,19.439999999999998,13.889999999999999,11.110000000000001,5.56,5.56,2.78,2.78,2.78,2.78
Volleyball,USA,BRA,AUS,CHN,CUB,YUG,,,,
Volleyball,41.67,25.0,8.33,8.33,8.33,8.33,,,,
Weightlifting,CHN,RUS,BLR,TUR,THA,GRE,INA,KOR,KAZ,BUL
Weightlifting,17.78,13.33,5.93,4.44,4.44,4.44,4.44,3.6999999999999997,3.6999999999999997,3.6999999999999997
Weightlifting,CHN,TUR,THA,IRI,GRE,BUL,KOR,BLR,PRK,UKR
Weightlifting,40.0,8.89,6.67,6.67,4.44,4.44,4.44,2.22,2.22,2.22
Wrestling,RUS,USA,CUB,JPN,KAZ,GEO,UKR,TUR,KOR,UZB
Wrestling,15.82,9.180000000000001,6.329999999999999,5.7,5.38,5.06,5.06,4.43,4.43,3.8
Wrestling,RUS,USA,UZB,CUB,JPN,TUR,KOR,AZE,GEO,FRA
Wrestling,30.43,8.7,6.52,6.52,4.35,4.35,4.35,4.35,4.35,4.35
